Designator,Mid X,Mid Y,Layer,Rotation
BT1,342.96,-425.57,bottom,180
C1,332.35,-378.75,bottom,0
C2,325.15,-381.85,bottom,90
C3,295.5,-392.1,bottom,0
C4,333.15,-381.05,bottom,90
C5,320.1,-375.25,bottom,180
C6,314.35,-389.75,bottom,-90
C7,318.8,-349.85,bottom,-90
C8,314.45,-394.3,bottom,90
C9,311.9,-355.7625,bottom,180
C10,296.3,-394.55,bottom,0
C11,289.4,-385.15,bottom,180
C12,316.47,-361.2825,bottom,0
C13,313.32,-361.3325,bottom,0
C14,312.57,-363.6075,bottom,90
C15,317.27,-382.480316,bottom,180
C16,336.290852,-386.490245,bottom,157.5
C17,352.384736,-397.421365,bottom,135
C18,362.946013,-413.76237,bottom,112.5
C19,366.519684,-432.87,bottom,90
C20,362.509755,-451.890852,bottom,67.5
C21,351.367458,-467.97356,bottom,45
C22,335.23763,-478.446013,bottom,22.5
C23,316.13,-482.019684,bottom,0
C24,297.109148,-478.009755,bottom,-22.5
C25,281.115264,-467.078635,bottom,-45
C26,270.553987,-450.837631,bottom,-67.5
C27,266.980316,-431.73,bottom,-90
C28,270.990245,-412.709147,bottom,-112.5
C29,281.921365,-396.715263,bottom,-135
C30,298.16237,-386.053986,bottom,-157.5
L1,328.65,-378.05,bottom,0
O\I,343.240086,-375.237539,bottom,-22.5
Q1,326.95,-393.75,bottom,90
Q2,312.97,-358.7325,bottom,0
R1,331.55,-381.05,bottom,-90
R2,316.125,-387.5,bottom,0
R6,327.0875,-396.45,bottom,0
R7,315.62,-363.6075,bottom,90
R8,314.07,-363.6075,bottom,90
R9,311.07,-363.6075,bottom,90
R10,310.22,-358.9325,bottom,90
R11,317.3075,-358.9825,bottom,90
R12,315.7375,-358.9825,bottom,90
R13,314.95,-345.55,bottom,90
R14,316.45,-345.55,bottom,-90
Reset,306.05,-392.35,bottom,180
U1,314.9,-351.8625,bottom,0
U2,319.4,-392.1,bottom,-90
U3,290.65,-389.7,bottom,-90
U4,328.65,-381.45,bottom,-90
U5,316.7,-385,bottom,180
U6,334.8,-388.6,bottom,157.5
U7,350.2,-398.8,bottom,135
U8,360.4,-414.2,bottom,112.5
U9,364,-432.3,bottom,90
U10,360.4,-450.4,bottom,67.5
U11,350,-465.8,bottom,45
U12,334.8,-475.9,bottom,22.5
U13,316.7,-479.5,bottom,0
U14,298.6,-475.9,bottom,-22.5
U15,283.3,-465.7,bottom,-45
U16,273.1,-450.4,bottom,-67.5
U17,269.5,-432.3,bottom,-90
U18,273.1,-414.2,bottom,-112.5
U19,283.3,-398.9,bottom,-135
U20,298.6,-388.6,bottom,-157.5
1,328.25,-361.61,top,180
2,328.2625,-358.61,top,180
4,328.2625,-355.61,top,180
MODE,304.15,-357.75,top,-90
R3,328.2625,-354.09,top,0
R5,328.25,-360.11,top,0
SAO 1,299.73192,-261.489135,top,157.5
SAO 2,350.533346,-260.757984,top,67.5
U21,316.75,-369.85,top,180
U22,325.779541,-370.659014,top,172.5
U23,334.647628,-372.423553,top,165
U24,343.223281,-375.319402,top,157.5
U25,351.446987,-379.153013,top,150
U26,358.982296,-384.201057,top,142.5
U27,365.68,-390.32,top,135
U28,371.64,-397.13,top,127.5
U29,376.67,-404.66,top,120
U30,380.67,-412.77,top,112.5
U31,383.58,-421.35,top,105
U32,385.34,-430.21,top,97.5
U33,385.93,-439.25,top,90
U34,385.350459,-448.270986,top,82.5
U35,383.59,-457.16,top,75
U36,380.669402,-465.726719,top,67.5
U37,376.67,-473.84,top,60
U38,371.64,-481.37,top,52.5
U39,365.67,-488.17,top,45
U40,358.878943,-494.137704,top,37.5
U41,351.35,-499.17,top,30
U42,343.23,-503.17,top,22.5
U43,334.66,-506.08,top,15
U44,325.78,-507.85,top,7.5
U45,316.75,-508.44,top,0
U46,307.720459,-507.850986,top,-7.5
U47,298.846447,-506.087628,top,-15
U48,290.270598,-503.173281,top,-22.5
U49,282.156987,-499.166987,top,-30
U50,274.641057,-494.137704,top,-37.5
U51,267.82,-488.18,top,-45
U52,261.862296,-481.368943,top,-52.5
U53,256.84,-473.84,top,-60
U54,252.820598,-465.736719,top,-67.5
U55,249.913553,-457.157628,top,-75
U56,248.15,-448.29,top,-82.5
U57,247.57,-439.26,top,-90
U58,248.160986,-430.219541,top,-97.5
U59,249.92,-421.35,top,-105
U60,252.826719,-412.770598,top,-112.5
U61,256.82,-404.66,top,-120
U62,261.868943,-397.132296,top,-127.5
U63,267.82,-390.322893,top,-135
U64,274.63,-384.35,top,-142.5
U65,282.16,-379.33,top,-150
U66,290.27,-375.34,top,-157.5
U67,298.84,-372.42,top,-165
U68,307.72,-370.66,top,-172.5
U69,308.95,-336.35,top,180
U70,324.55,-336.35,top,-90
U71,308.95,-318.2,top,180
U72,324.55,-318.2,top,-90
U73,308.95,-300,top,180
U74,324.55,-300,top,-90
U75,308.95,-281.8,top,180
U76,324.55,-281.8,top,-90
